date,open,high,low,close,volume
2019-01-02T00:00:00Z,3201.6,3212,2984,2996.8,24050
2019-01-03T00:00:00Z,3060.8,3203.2,3048,3137.6,14863
2019-01-04T00:00:00Z,3005.6,3031.2,2880,2885.6,20986
2019-01-07T00:00:00Z,2862.4,2904.8,2787.2,2824.8,14821
2019-01-08T00:00:00Z,2775.2,2870.4,2756.8,2765.6,12602
2019-01-09T00:00:00Z,2741.6,2762.4,2668,2701.6,14840
2019-01-10T00:00:00Z,2746.4,2782.4,2672.8,2673.6,15591
2019-01-11T00:00:00Z,2707.2,2718.4,2582.4,2586.4,14374
2019-01-14T00:00:00Z,2655.2,2660.8,2555.2,2596.8,14930
2019-01-15T00:00:00Z,2581.6,2581.6,2475.2,2480,12386
2019-01-16T00:00:00Z,2457.6,2525.6,2441.6,2524.8,13171
2019-01-17T00:00:00Z,2544,2546.4,2460.8,2499.2,11864
2019-01-18T00:00:00Z,2430.4,2464.8,2391.2,2436,12613
2019-01-22T00:00:00Z,2464,2689.6,2460,2659.2,26998
2019-01-23T00:00:00Z,2610.4,2796.8,2604.8,2633.6,21563
2019-01-24T00:00:00Z,2642.4,2673.6,2543.2,2548.8,16797
2019-01-25T00:00:00Z,2488,2504.8,2440.8,2451.2,17715
2019-01-28T00:00:00Z,2542.4,2631.2,2536.8,2556,24830
2019-01-29T00:00:00Z,2518.4,2584,2500.8,2546.4,23795
2019-01-30T00:00:00Z,2507.2,2548,2426.4,2432.8,26388
2019-01-31T00:00:00Z,2428.8,2428.8,2328.8,2332,21967
2019-02-01T00:00:00Z,2324.8,2342.4,2294.4,2308.8,17592
2019-02-04T00:00:00Z,2300,2312.8,2225.6,2236,11824
2019-02-05T00:00:00Z,2216,2234.4,2168,2220,11732
2019-02-06T00:00:00Z,2198.4,2229.6,2177.6,2204,13920
2019-02-07T00:00:00Z,2272.8,2368.8,2238.4,2280.8,26597
2019-02-08T00:00:00Z,2332.8,2354.4,2250.4,2253.6,20466
2019-02-11T00:00:00Z,2225.6,2262.4,2205.6,2228,17196
2019-02-12T00:00:00Z,2175.2,2202.4,2161.6,2188,17760
2019-02-13T00:00:00Z,2172,2206.4,2160,2180.8,17752
2019-02-14T00:00:00Z,2233.6,2271.2,2180,2220,23981
2019-02-15T00:00:00Z,2176.8,2193.6,2140.8,2144.8,19896
2019-02-19T00:00:00Z,2184.8,2190.4,2121.6,2149.6,23637
2019-02-20T00:00:00Z,2132,2135.2,2062.4,2066.4,29021
2019-02-21T00:00:00Z,2071.2,2122.4,2036.8,2087.2,23184
2019-02-22T00:00:00Z,2054.4,2060,2006.96,2010.4,18205
2019-02-25T00:00:00Z,1960.8,2048.8,1944.8,2048,17683
2019-02-26T00:00:00Z,2080,2091.2,2032.8,2066.4,16764
2019-02-27T00:00:00Z,2088,2142.4,2052,2069.6,23080
2019-02-28T00:00:00Z,2072.8,2076,2027.2,2065.6,21780
2019-03-01T00:00:00Z,2012,2051.2,1971.2,1973.6,20667
2019-03-04T00:00:00Z,1948.8,2124.8,1924.8,2021.6,38604
2019-03-05T00:00:00Z,2012,2064,2006.4,2034.4,23301
2019-03-06T00:00:00Z,2032.8,2104.8,2032,2086.4,30129
2019-03-07T00:00:00Z,2116.8,2214.4,2114.4,2172.8,47485
2019-03-08T00:00:00Z,2243.2,2276.8,2184.8,2185.6,40708
2019-03-11T00:00:00Z,2144,2144,2020,2027.2,36582
2019-03-12T00:00:00Z,2007.2,2016,1968,1968,37592
2019-03-13T00:00:00Z,1960,1967.2,1932.8,1948,25505
2019-03-14T00:00:00Z,1949.6,1953.6,1910.4,1917.6,19757
2019-03-15T00:00:00Z,1905.6,1913.6,1856,1880,21253
2019-03-18T00:00:00Z,1894.4,1924,1869.6,1884.8,19060
2019-03-19T00:00:00Z,1854.4,1928,1850.4,1900,30064
2019-03-20T00:00:00Z,1900,1941.6,1857.6,1917.6,36020
2019-03-21T00:00:00Z,1946.4,1946.4,1870.4,1888.8,25234
2019-03-22T00:00:00Z,1932.8,2123.2,1912,2108,76689
2019-03-25T00:00:00Z,2108.8,2170.4,2068.8,2112,62833
2019-03-26T00:00:00Z,2029.6,2053.6,1988,1999.2,31690
2019-03-27T00:00:00Z,1995.2,2111.2,1980.8,2029.6,39406
2019-03-28T00:00:00Z,2016.8,2042.4,1980.8,1985.6,18311
2019-03-29T00:00:00Z,1948.8,1959.2,1918.4,1921.6,22520
2019-04-01T00:00:00Z,1904.8,1918.4,1884,1889.6,17459
2019-04-02T00:00:00Z,1897.6,1905.6,1876,1884,14032
2019-04-03T00:00:00Z,1853.6,1925.6,1849.6,1897.6,20802
2019-04-04T00:00:00Z,1888,1912,1867.2,1881.6,19244
2019-04-05T00:00:00Z,1856.8,1868,1840,1840.8,18002
2019-04-08T00:00:00Z,1848,1859.2,1828.8,1832.8,14162
2019-04-09T00:00:00Z,1859.2,1908,1847.2,1897.6,17242
2019-04-10T00:00:00Z,1877.6,1892.8,1842.4,1846.4,15872
2019-04-11T00:00:00Z,1821.6,1832.8,1802.4,1807.2,19123
2019-04-12T00:00:00Z,1770.4,1773.6,1720.8,1724,26974
2019-04-15T00:00:00Z,1700,1772.8,1697.6,1704,27078
2019-04-16T00:00:00Z,1696,1703.6,1672.8,1692.8,22761
2019-04-17T00:00:00Z,1661.6,1732,1661.6,1702.4,21176
