date,symbol,signal,close,executed_entry,executed_exit
2020-01-27T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,5.97125144,PENDING,""
2020-02-06T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,6.280503596,"",PENDING
2020-02-24T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,6.793603636,PENDING,""
2020-03-03T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,6.721291037,"",PENDING
2020-04-21T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,6.704127119,PENDING,""
2020-05-01T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,6.986958647,"",PENDING
2020-05-28T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,8.444647969,PENDING,""
2020-06-08T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,8.760081277,"",PENDING
2020-08-11T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,10.80078203,PENDING,""
2020-08-18T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,12.20513256,"",PENDING
2020-08-20T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.08592577,PENDING,""
2020-08-31T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.42273539,"",PENDING
2020-09-18T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.13746864,PENDING,""
2020-09-28T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,12.88253999,"",PENDING
2020-10-15T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,13.91065381,PENDING,""
2020-10-22T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.39286283,"",PENDING
2020-11-20T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,13.03215171,PENDING,""
2020-11-30T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.43493335,"",PENDING
2020-12-10T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.92099938,PENDING,""
2020-12-14T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.25616994,"",PENDING
2020-12-23T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.9578532,PENDING,""
2021-01-04T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.04799566,"",PENDING
2021-01-14T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,13.1480986,PENDING,""
2021-01-25T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.52678655,"",PENDING
2021-01-26T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,13.38217017,PENDING,""
2021-02-02T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.50319015,"",PENDING
2021-02-22T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,14.29903347,PENDING,""
2021-03-01T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.84508404,"",PENDING
2021-03-05T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.41226725,PENDING,""
2021-03-11T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,12.94630022,"",PENDING
2021-03-25T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.48971485,PENDING,""
2021-04-05T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.94882272,"",PENDING
2021-04-20T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,15.1161394,PENDING,""
2021-04-30T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,15.0700574,"",PENDING
2021-06-09T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,17.29918044,PENDING,""
2021-06-18T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,18.57532294,"",PENDING
2021-07-27T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,19.1426358,PENDING,""
2021-08-06T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,20.37642293,"",PENDING
2021-08-10T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,19.86815844,PENDING,""
2021-08-17T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,19.43364214,"",PENDING
2021-09-09T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,22.10548174,PENDING,""
2021-09-17T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,21.07780659,"",PENDING
2021-09-21T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,21.17748411,PENDING,""
2021-09-28T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,20.87197253,"",PENDING
2021-10-12T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,20.60433841,PENDING,""
2021-10-22T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,22.89891473,"",PENDING
2021-11-17T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,29.16663666,PENDING,""
2021-11-29T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,33.06203381,"",PENDING
2021-12-10T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,30.10444514,PENDING,""
2021-12-17T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,27.2204078,"",PENDING
